iter	Passed	Remaining
0	0	80
1	1	73
2	2	68
3	2	61
4	3	60
5	3	60
6	4	59
7	5	58
8	6	61
9	6	62
10	7	62
11	8	64
12	9	63
13	10	61
14	10	60
15	11	60
16	12	59
17	12	58
18	13	56
19	13	55
20	14	55
21	15	54
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	21	47
31	22	47
32	23	47
33	24	47
34	25	46
35	26	46
36	26	45
37	27	45
38	28	44
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	39	31
55	39	31
56	40	30
57	41	29
58	41	29
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	50	19
72	51	18
73	52	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
